client_code,name,category_1,category_2,category_3,category_4,category_5,currency_count,currencies,product,in,out,total,have_fx,loan_p_o,avg_monthly_balance_KZT
1,Айгерим,Путешествия,Такси,Кино,Едим дома,Смотрим дома,1,KZT,Карта для путешествий,1875090.64,6722190.4,-4847099.76,0,0,92643
2,Данияр,Такси,Едим дома,АЗС,Отели,Кино,1,KZT,Карта для путешествий,1646273.33,6636050.47,-4989777.14,0,0,1577073
3,Сабина,Такси,Смотрим дома,Играем дома,Едим дома,Кино,2,"EUR, KZT",Карта для путешествий,690885.17,3526821.01,-2835935.84,0,0,63116
4,Тимур,Такси,Путешествия,Смотрим дома,Едим дома,АЗС,1,KZT,Карта для путешествий,1786681.16,6103937.34,-4317256.18,0,0,83351
5,Камилла,Такси,АЗС,Играем дома,Отели,Путешествия,1,KZT,Карта для путешествий,1746521.4,6200126.04,-4453604.64,0,0,1336536
6,Аян,Такси,Отели,Кино,Играем дома,Едим дома,1,KZT,Карта для путешествий,1828401.34,6432809.25,-4604407.91,0,0,131929
7,Руслан,Косметика и Парфюмерия,Такси,Играем дома,АЗС,Едим дома,1,KZT,Премиальная карта,1798855.62,8422453.4,-6623597.78,0,1,4040997
8,Мадина,Косметика и Парфюмерия,Такси,АЗС,Играем дома,Смотрим дома,1,KZT,Премиальная карта,2044952.12,8494299.18,-6449347.06,0,1,1058403
9,Арман,Косметика и Парфюмерия,Такси,Смотрим дома,АЗС,Едим дома,1,KZT,Премиальная карта,1783301.11,8565700.19,-6782399.08,0,1,3084180
10,Карина,Косметика и Парфюмерия,АЗС,Такси,Смотрим дома,Едим дома,1,KZT,Премиальная карта,1978310.07,8538828.01,-6560517.94,0,1,1277325
11,Бауржан,Косметика и Парфюмерия,Такси,АЗС,Играем дома,Смотрим дома,1,KZT,Премиальная карта,2018248.03,8003796.53,-5985548.5,0,1,3230572
12,Жанар,Косметика и Парфюмерия,Такси,АЗС,Едим дома,Кино,1,KZT,Премиальная карта,2101563.25,8245551.47,-6143988.22,0,1,849046
13,Алина,Едим дома,Играем дома,Смотрим дома,Такси,Кино,1,KZT,Кредитная карта,652040.05,6183020.26,-5530980.21,0,0,54074
14,Диас,Едим дома,Смотрим дома,Играем дома,АЗС,Такси,1,KZT,Кредитная карта,1694597.68,8183960.96,-6489363.28,0,0,57385
15,Нурия,Едим дома,Играем дома,Такси,Смотрим дома,АЗС,1,KZT,Кредитная карта,1693833.8,8520872.79,-6827038.99,0,0,160778
16,Ерасыл,Едим дома,Смотрим дома,Такси,Играем дома,Путешествия,1,KZT,Кредитная карта,648430.04,5795598.89,-5147168.85,0,0,46630
17,Жанель,Едим дома,Играем дома,Такси,Смотрим дома,АЗС,1,KZT,Кредитная карта,1741135.68,8232024.81,-6490889.13,0,0,89126
18,Санжар,Едим дома,АЗС,Такси,Играем дома,Смотрим дома,1,KZT,Кредитная карта,1614104.74,8027250.45,-6413145.71,0,0,98089
19,Азамат,Такси,Смотрим дома,АЗС,Играем дома,Кино,1,KZT,Обмен валют,3310582.9,14302668.48,-10992085.58,1,0,80150
20,Анель,Такси,Кино,Смотрим дома,Играем дома,Едим дома,1,KZT,Обмен валют,3071744.64,12850251.01,-9778506.37,1,0,141515
21,Павел,Такси,Смотрим дома,Кино,Едим дома,Играем дома,1,KZT,Обмен валют,3489616.76,13955230.34,-10465613.58,1,0,1798169
22,Аружан,Такси,Кино,Смотрим дома,Играем дома,Едим дома,1,KZT,Обмен валют,3127410.24,12555440.34,-9428030.1,1,0,77474
23,Темирлан,Такси,АЗС,Кино,Смотрим дома,Играем дома,1,KZT,Обмен валют,5223742.63,12537936.66,-7314194.03,1,0,146389
24,Гульмира,Такси,Смотрим дома,АЗС,Кино,Едим дома,1,KZT,Обмен валют,3550000.78,13583688.4,-10033687.62,1,0,53785
25,Адиль,Такси,Едим дома,АЗС,Смотрим дома,Играем дома,1,KZT,Кредит наличными,1855648.76,6536597.23,-4680948.47,0,1,55634
26,Маржан,Такси,Путешествия,АЗС,Смотрим дома,Кино,1,KZT,Кредит наличными,1709209.99,6681134.73,-4971924.74,0,1,136248
27,Нурсултан,Такси,Едим дома,Кино,Путешествия,Смотрим дома,1,KZT,Кредит наличными,1391866.82,6666908.72,-5275041.9,0,1,70858
28,Алтынай,Такси,Отели,Кино,Играем дома,Едим дома,1,KZT,Кредит наличными,1671967.87,6621473.81,-4949505.94,0,1,150281
29,Сая,Такси,Отели,Едим дома,АЗС,Смотрим дома,1,KZT,Кредит наличными,1299141.59,6411909.47,-5112767.88,0,1,88487
